Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Jordan,2022-05-26 10:20:29,31.24,36.51,1696668,14066,,,16628.880913130663,,,0.8290366765920026,400,JOR,923,2
Kazakhstan,2022-05-26 10:20:29,48.0196,66.9237,1394834,19015,,,7428.53366141358,,,1.363244658504166,398,KAZ,407,2
Kenya,2022-05-26 10:20:29,-0.0236,37.9062,324406,5651,,,603.3069685873319,,,1.7419529848399844,404,KEN,682,2
Kiribati,2022-05-26 10:20:29,-3.3704,-168.734,3098,13,,,2634.21934255055,,,0.4196255648805681,296,KIR,18,0
"Korea, North",2022-05-26 10:20:29,40.3399,127.5101,1,6,,,0.0038791542590301,,,600.0,408,PRK,1,6
"Korea, South",2022-05-26 10:20:29,35.907757,127.766922,18036720,24063,,,35180.43187854193,,,0.1334111745372773,410,KOR,950094,1597
Kosovo,2022-05-26 10:20:29,42.602636,20.902977,228329,3139,,,12612.311543632612,,,1.3747706160846849,383,XKS,325,1
Kuwait,2022-05-26 10:20:29,29.31166,47.481766,632781,2555,,,14817.2735070294,,,0.4037731853516461,414,KWT,1372,0
Kyrgyzstan,2022-05-26 10:20:29,41.20438,74.766098,200993,2991,,,3080.7344542794654,,,1.4881115262720592,417,KGZ,2,0
Laos,2022-05-26 10:20:29,19.85627,102.495496,209888,756,,,2884.837942282349,,,0.3601921024546424,418,LAO,3349,19
Latvia,2022-05-26 10:20:29,56.8796,24.6032,827889,5820,,,43891.85251632646,,,0.7029927925120396,428,LVA,9055,52
Lebanon,2022-05-26 10:20:29,33.8547,35.8623,1098791,10422,,,16098.459264616124,,,0.9484970299174276,422,LBN,2143,41
Lesotho,2022-05-26 10:20:29,-29.61,28.2336,33358,698,,,1557.1464048113853,,,2.0924515858264883,426,LSO,390,1
Liberia,2022-05-26 10:20:29,6.428055,-9.429499,7455,294,,,147.39968566596878,,,3.943661971830986,430,LBR,21,0
Libya,2022-05-26 10:20:29,26.3351,17.228331,501987,6430,,,7305.574632525173,,,1.2809096649913243,434,LBY,83,0
Liechtenstein,2022-05-26 10:20:29,47.14,9.55,17428,84,,,45698.40312557359,,,0.4819830158365848,438,LIE,295,0
Lithuania,2022-05-26 10:20:29,55.1694,23.8813,1062070,9138,,,39013.830630156735,,,0.860395265848767,440,LTU,5432,56
Luxembourg,2022-05-26 10:20:29,49.8153,6.1296,244182,1073,,,39008.20478740399,,,0.43942632954108,442,LUX,7496,10
MS Zaandam,2022-05-26 10:20:29,,,9,2,,,,,,22.22222222222222,8888,,0,0
Madagascar,2022-05-26 10:20:29,-18.766947,46.869107,64314,1393,,,232.2558082821004,,,2.165935877102964,450,MDG,162,2
Malawi,2022-05-26 10:20:29,-13.2543,34.3015,85943,2639,,,449.258767205673,,,3.070639842686432,454,MWI,182,6
Malaysia,2022-05-26 10:20:29,4.210483999999999,101.975766,4497212,35653,,,13894.86584037977,,,0.7927800601795068,458,MYS,56829,127
Maldives,2022-05-26 10:20:29,3.2028,73.2207,179662,298,,,33237.3802590733,,,0.1658670169540581,462,MDV,491,0
Mali,2022-05-26 10:20:29,17.570692,-3.996166,31069,734,,,153.4208418280452,,,2.36248350445782,466,MLI,284,3
Malta,2022-05-26 10:20:29,35.9375,14.3754,94264,719,,,21348.96351171697,,,0.762751421539506,470,MLT,3043,23
Marshall Islands,2022-05-26 10:20:29,7.1315,171.1845,17,0,,,29.10311060893979,,,0.0,584,MHL,0,0
Mauritania,2022-05-26 10:20:29,21.0079,-10.9408,59083,982,,,1270.695061574395,,,1.6620686153377453,478,MRT,397,0
Mauritius,2022-05-26 10:20:29,-20.348404,57.552152,224722,996,,,17670.060632175548,,,0.4432142825357553,480,MUS,4378,6
